Nom;Messages;Date_de_publication;Sentiment;Urgence;Probleme;mot-critique;incomfort;type;Deception;Satisfaction;Frustration
😼😸;@ENGIEpartFR ça va de passer mes mensualités de 80€ à 170€ ??? Vous êtes des grands malades j’ai 40m2 😂😂;2024-07-17 07:42:42+00:00;Négatif;True;['Augmentation excessive des mensualités'];['passer de 80€ à 170€', 'grands malades'];90;Facturation;70;0;80
elPoliak;@ENGIEpartFR alors comme ça on veut pas rembourser ses client et on leur impute des délais et des contraintes effarantes alors que c’est vous qui êtes en tord ? Ça commence à faire beaucoup la non ?;2024-07-17 08:23:44+00:00;Négatif;True;['remboursement', 'délais', 'contraintes'];['rembourser', 'impute', 'délais', 'contraintes', 'tord'];90;remboursement;80;0;100
Kevin.eth.io;@ENGIEpartFR bonjour j’ai une question puis-je savoir si c’est possible de savoir si quelqu’un est branché sur mon compteur électrique ???;2024-07-18 12:55:46+00:00;Neutre;False;[];[];0;Question;0;0;0
Fred | Pocket Gamers |;@ENGIEpartFR Merci pour ce jour d'attente pour l'entretien de ma chaudière. Passage dans la matinée (8h-12h) et aucun appel. Après 5 appels au numéro fourni, toujours aucune nouvelle du technicien. \nAvoir pris sa matinée, puis prendre un avertissement du patron j'adore.;2024-07-19 14:03:54+00:00;Négatif;True;['absence de technicien', 'manque de communication', 'problèmes professionnels'];['attente', 'aucun appel', 'aucune nouvelle', 'avertissement'];90;Service client et intervention Technique;80;0;100
Cy Ga (vr54110);@ENGIEpartFR Pour cela faudrait que votre site marche, impossible de se connecter depuis plus d'1 mois;2024-07-19 14:43:34+00:00;Négatif;True;['site ne marche pas', 'impossible de se connecter'];['marche', 'impossible', ' connecter'];80;Technique;85;0;90
Florian;Hey @ENGIEpartFR comment vous pouvez justifier que je consomme moins en mai qu’en janvier mais que je paie 3 fois plus cher ? Le prix de l’abonnement a déjà doublé et le prix de l’électricité n’a pas triplé à ce que je sache. \nMoins je consomme et plus je suis facturé ?! https://t.co/FIp5EDJfLQ;2024-07-21 12:37:33+00:00;Négatif;True;['Surfacturation', 'Augmentation injustifiée des coûts'];['justifier', 'paie 3 fois plus cher', 'doublé', 'facturé'];80;Facturation;85;0;90
HONEY🐝;@ENGIEgroup @ENGIEpartFR @GRDF vous croyez que c’est normal de couper le gaz quand on a 2 enfants en bas âge sans nous prévenir en plus??? Parce que votre sois disant message envoyer le 11/07 il est inexistant.\nFaut arrêter de se foutre de la gueule du monde à un moment https://t.co/3UXSEdP3xY;2024-07-22 19:29:13+00:00;Négatif;True;['coupure de gaz sans préavis', 'message inexistant'];['couper le gaz', 'enfants en bas âge', 'sans nous prévenir', 'inexistant', 'se foutre de la gueule du monde'];100;Service client et communication;100;0;100
Nicolas;@ENGIEpartFR bonjour. Comment résilier son abonnement quand on a déménagé ? J’essaie de vous joindre depuis un mois 🙁;2024-07-23 15:45:23+00:00;Négatif;True;"[""Difficulté à résilier l'abonnement"", 'Problème de contact']";['résilier', 'déménagé', 'joindre', 'mois'];80;Service client;70;0;90
La Lu Totale ! 👑;45 min au téléphone avec @ENGIEpartFR pour tenter de comprendre leurs tableaux aux intitulés trompeurs pr notre offre qui change au 1er septembre.\nJe fais les calculs avec la dame.\nEn se basant sur notre conso réelle de 2023 : tarif +46% ! 🤬😱\nMais vous êtes malades !!;2024-07-23 18:22:47+00:00;Négatif;True;"[""Temps d'attente long"", 'Tableaux trompeurs', 'Augmentation de tarif']";['45 min', 'intitulés trompeurs', '+46%', 'malades'];90;Service client et tarification;100;0;100
Liluxe🌼;@ENGIEgroup @ENGIEpartFR \nJe veux bien être gentille, mais les mail à 2h38, pour me dire que vous changer mon échéancier mais en plus vous l’augmenter de 40€, vous vous êtes cru ou ?;2024-07-25 00:54:10+00:00;Négatif;False;"[""changement d'échéancier"", 'augmentation de 40€']";['2h38', 'augmenter de 40€', 'vous vous êtes cru ou'];80;Changement de contrat;70;0;90
Gemini Josette;@ENGIEgroup @ENGIEpartFR pires escrocs, ça vous dérange pas de faire payer 400€ a une de vos clientes tout simplement parce qu'une de vos salariées n'a pas été capable de faire son travail correctement ? La honte absolue.;2024-07-27 00:07:19+00:00;Négatif;True;"['Facturation injustifiée', ""Erreur de l'employé""]";['escrocs', 'honte', 'incapable'];100;Facturation;100;0;100
j;Depuis le mois de Juin je demande une facture à mon Service client ENGIE. Ma dernière facture date de Septembre 2023. Service client qui se permet de raccrocher au nez de ses clients. Il ne donne aucune solution. À ce jour toujours aucune facture. #engie @ENGIEgroup @ENGIEpartFR;2024-07-29 09:31:02+00:00;Négatif;True;['Absence de facture depuis juin', 'Mauvais traitement par le Service client', 'Aucune solution proposée'];['raccrocher au nez', 'aucune solution', 'aucune facture'];90;Service client;100;0;100
@Palmira;@ENGIEpartFR mes plus sincères remerciements, a tout le personnel, pour force majeure j'ai du déménager, votre personnel un 10/10 mil fois merci;2024-07-29 16:35:26+00:00;Positif;False;[];['remerciements', '10/10'];0;Remerciement;0;100;0
👀🍍;@ENGIEpartFR Merci d'arrêter de balader les gens!!! Et de faire votre travail \n#escroc;2024-07-30 07:36:26+00:00;Négatif;True;['Manque de sérieux', 'Manque de professionnalisme'];['balader', 'escroc'];100;Service client;100;0;100
AtosTilny;@ENGIEpartFR bonjour j'aurais besoin d'informations svp;2024-07-31 09:24:16+00:00;Neutre;False;[];[];0;Demande d'information;0;0;0
Fred | Pocket Gamers |;@enedis_bourg Bonjour, plus de 10h de coupures d'électricité en 2 jours avec les chaleurs actuelles... Aucune heure de fin de travaux un dimanche. Actuellement, il est 14h, la coupure à commencer à 8h30... \nJ'ai le droit d'avoir de l'électricité pour manger ou de l'eau chaude ?;2024-08-04 12:13:55+00:00;Négatif;True;"[""coupures d'électricité prolongées"", ""manque d'information sur la fin des travaux""]";['plus de 10h de coupures', 'aucune heure de fin de travaux', 'chaleurs actuelles'];90;Service client et information;70;0;80
Bonioma 📵;@ENGIEpartFR pour finir plus vite une facture on me dit non mais vous avez pas d’argent ?;2024-08-05 08:00:27+00:00;Négatif;False;['Facturation', 'Communication client'];['finir', 'facture', 'argent'];60;Service client;70;0;80
aatgrog;@ENGIEpartFR ou comment se moquer des clients ? Le Service clients qui me passe le Service facturation car il n'est pas capable d'effectuer une demande à son collègue : c'est n'importe quoi ! \n#leclientfaitletravaildesemployes;2024-08-05 12:55:44+00:00;Négatif;False;['mauvaise gestion du Service client', 'inefficacité de la communication interne'];"['se moquer', 'incapable', ""n'importe quoi""]";80;Service client;85;0;90
Fred | Pocket Gamers |;@enedis_bourg @Chronopost @SNCFVoyageurs Bon record battu, 24h de coupure d'électricité en 3 jours, avec un mépris total du conseiller clientèle et de @ENGIEpartFR . Une vraie finale de Rolland Garros, pour ne pas m'indemniser mes pertes alimentaires... Oh on est au Cambodge ou quoi là ?;2024-08-05 14:39:19+00:00;Négatif;True;"[""coupure d'électricité"", 'mépris du conseiller clientèle', ""absence d'indemnisation""]";"[""coupure d'électricité"", 'mépris', 'indemniser', 'pertes alimentaires']";100;Service client et indemnisation;100;0;100
Ganon Nathalie 💋🚜;@ENGIEpartFR  bonjour,  mail de fraude, je ne suis même pas chez vous.\nSouhaitez-vous que je vous fasse suivre ce mail ? https://t.co/QtttYUTmup;2024-08-06 08:32:02+00:00;Neutre;False;['Mail de fraude'];['fraude'];10;Information;5;80;5
Pierrot;@ENGIEpartSAV hello, possible d’aller en DM ?;2024-08-06 13:41:04+00:00;Neutre;False;[];[];0;Demande de contact;0;0;0
Création discord et graphiste;@ENGIEpartFR 2 mois après les remboursements annuels toujours rien de votre part, toutes les 2 semaines on me dit vos remboursements seront dispo dans 2 semaines et on est le 8 août j’ai toujours rien. Franchement organisation à revoir. En attente toujours d’une réponse.;2024-08-08 12:53:07+00:00;Négatif;True;['retard de remboursement', 'manque de communication'];['toujours rien', '2 semaines', 'organisation à revoir'];80;Service client;85;0;90
Fred | Pocket Gamers |;@ENGIEpartFR est une blague en termes de relation client, incompétent et très condescendant. Pour réclamer de l'argent, il savent faire mais pour appliquer des réductions pour défaut de fournitures d'électricité, plus personne...;2024-08-09 07:11:05+00:00;Négatif;False;"['Relation client incompétente', 'Condescendance', ""Non-application des réductions pour défaut de fourniture d'électricité""]";['blague', 'incompétent', 'condescendant', 'défaut de fourniture'];90;Service client et facturation;100;0;100
Filiyack 🌈;@ENGIEpartSAV 3 questions :\n1/ impossible de me connecter, alors que je n'ai aucun problème sur les sites d'eau, d'électricité, impôts et autres. La connexion par France Connect ne fonctionne pas non plus pour le site Engie parce que 2/\n2/ je ne reçois aucune facture, alors que;2024-08-09 08:25:16+00:00;Négatif;True;['Problème de connexion au site', 'Problème de connexion via France Connect', 'Non-réception de factures'];['impossible de me connecter', 'ne fonctionne pas', 'ne reçois aucune facture'];80;Service client et Technique;75;5;85
Bocho';@ENGIEpartFR besoin de vous 🫠;2024-08-10 15:16:49+00:00;Neutre;True;[];['besoin'];50;Demande d'assistance;0;0;30
mr wick 🐕 (pierre);@ENGIEpartFR comment pouvez vous me demander 136 euros alors que je vie seul . J'ai pas les moyens ......;2024-08-11 12:23:22+00:00;Négatif;True;['Facture élevée', 'Difficultés financières'];['136 euros', 'je vie seul', 'pas les moyens'];80;Facturation;70;0;90
vbk🌟 🌹;@ENGIEpartFR dites messieurs, dames, de ENGIE, ça va, pas trop gêner de faire attendre les gens 15 jours pour régulariser un compteur ? Sans deconner;2024-08-13 10:24:18+00:00;Négatif;True;['délai de régularisation trop long'];['attendre', '15 jours', 'gêner', 'sans déconner'];80;Délai de Service;70;0;90
Cy Ga (vr54110);@ENGIEpartFR Votre site web sera de nouveau accessible quand pour consulter mes factures ??? J'en ai besoin pour un justificatif !!! 2 mois que le site est inaccessible !!! Ne me dîtes pas de vous parler en Mp , je sais que c'est une machine;2024-08-13 10:26:51+00:00;Négatif;True;['site web inaccessible'];['inaccessible', 'justificatif', '2 mois'];80;Problème Technique;80;0;90
Épileptique-Gamer;Bonjour @ENGIEpartSAV j'ignore si vous faites partie des organismes qui ne peuvent plus accéder a leurs DM, mais je viens de vous en envoyer un...;2024-08-14 11:58:18+00:00;Neutre;False;['Accès aux DM'];['accéder', 'DM'];10;Information;10;0;10
Laurent CREPET;Et un phishing/scam de l'espace clients particuliers de @ENGIEpartFR...\nCa ne s'arrêtera jamais. 😭 https://t.co/tePgUl0au1;2024-08-20 06:50:06+00:00;Négatif;True;['Phishing', 'Scam'];"['phishing', 'scam', ""ne s'arrêtera jamais""]";80;Sécurité;85;0;90
SnZ;@ENGIEpartFR votre Service client est CATASTROPHIQUE ! Une honte !;2024-08-21 07:39:05+00:00;Négatif;False;['Mauvaise qualité du Service client'];['CATASTROPHIQUE', 'honte'];100;Service client;100;0;100
RataniX, l'enfant des âges farouche;Hé @ENGIEpartFR je crois bien que votre site c'est de la merde ! https://t.co/8ibNMU9IHp;2024-08-21 18:52:24+00:00;Négatif;False;['problème de site web'];['merde'];80;Problème Technique;80;0;100
Laurent ancien Batdoudou89;@ENGIEpartFR bonjour pourriez-vous me dire quand votre application sur téléphone IOs va fonctionner correctement ? Depuis des semaines impossible de connaître la consommation les comparaisons avec les années antérieures ? Merci;2024-08-23 03:05:19+00:00;Négatif;True;"[""problème d'application"", 'indisponibilité des données de consommation']";['fonctionner correctement', 'impossible', 'depuis des semaines'];80;Problème Technique;60;0;70
ℙ𝕣𝕚𝕟𝕔𝕖𝕤𝕤 𝔻𝕒𝕚𝕤𝕪 🇫🇷🇲🇦🇩🇿;Fidèle cliente depuis des années chez   @ENGIEpartFR , mes factures ne font qu’augmenter alors que ma conso n’a pas changé ! \n\nEnvie de résilier mon contrat dans les prochains jours. \nIl me faut  choisir un autre fournisseur mais je ne sais pas lequel. \nVous êtes chez qui vous ?;2024-08-23 07:36:38+00:00;Négatif;False;['augmentation des factures', 'envie de résilier'];['augmenter', 'résilier'];80;Prix et facturation;90;10;70
J’ai fait caca ce matin !;@ENGIEpartFR faire payer des factures de clôture aux particuliers à cause d’une erreur de votre part , ça vous dérange pas trop ?;2024-08-23 09:07:53+00:00;Négatif;True;"['Facturation erronée', ""Erreur de la part d'ENGIE""]";['faire payer', 'erreur', 'déranger'];80;Facturation;85;0;90
J’ai fait caca ce matin !;@ENGIEpartSAV @ENGIEpartFR Nous vous avons déjà contacté pour cette erreur, par téléphone. Vous nous avez renvoyé une nouvelle facture avec le même montant à régler … Super de se foutre de la gueule des clients de telle façon;2024-08-23 15:08:51+00:00;Négatif;True;['erreur de facturation', 'facture incorrecte'];['erreur', 'foutre de la gueule'];90;Facturation;90;0;100
B3lz;@ENGIEpartFR bonjour, j’ai besoin de votre aide : \n1 – Le 29 Juillet je reçois l’appel d’un de vos collaborateurs, m’indiquant qu’il y a une anomalie dans mon index de consommation et me demande d’aller faire une relève sur mon compteur gaz. Ce que je fais.;2024-08-27 07:39:19+00:00;Neutre;false;"[""anomalie dans l'index de consommation""]";;20;Information;10;60;10
Alexandre Rio 🌱;Dis @ENGIEpartFR, ce serait bien que tu arrêtes de m’envoyer par mail le bilan de conso du contrat que j’ai transféré quand j’ai déménagé;2024-08-27 14:15:50+00:00;Négatif;False;['Envoi de mails non pertinents'];['arrêtes', 'transféré', 'déménagé'];50;Service client;40;0;60
🦅🇨🇵♿️ Le Crabe du 72 ♿️🇨🇵 🦅;Euh @ENGIEpartFR je viens juste de regarder le prévisionnel de ma facture de régul : 230.23 euros pour le 16 01 25, sachant que je paie déjà mensuellement 130 euros. Vous voulez quoi ? Que je me désengage de chez vous ou que je me désengage du gaz ? @ENGIEpartSAV;2024-08-28 10:30:40+00:00;Négatif;True;['facture élevée', 'prévisionnel de facture', 'coût mensuel élevé'];['230.23 euros', '130 euros', 'désengage'];80;facturation;80;0;90
13;@ENGIEpartFR  j’arrive pas à me connecter à mon application…. C’est vraiment pénible;2024-08-28 19:38:14+00:00;Négatif;False;"[""connexion à l'application""]";['pénible'];80;Problème Technique;70;0;80
フロリアン saoif;@ENGIEpartSAV petit problème engie en voulant recharger ma voiture j'ai été débité 2 fois https://t.co/r8UF8RNjEa;2024-08-29 15:09:06+00:00;Négatif;True;['Double débit', 'Problème de rechargement de voiture'];['débité 2 fois', 'problème'];80;Problème de facturation;60;0;70
Arthur;@ENGIEpartFR me demande 215€ de régularisation ++++ augmentation des mensualités pour l’année suivante de 20€/mois mais on est où là \nJe vivais à 17*C tout l’hiver à faire mon petit citoyen modèle là;2024-08-29 19:55:49+00:00;Négatif;True;['régularisation élevée', 'augmentation des mensualités'];['215€', 'augmentation', '17*C', 'hiver'];80;Facturation;85;0;90
Guillaume Tournier;@ENGIEpartFR , tjs aussi cata le Service client … jamais de réponse , hier des techniciens qui se présentent chez moi pour une inter faite y a 6 mois, et dont j’attend tjs la facture. Un devis de réparation signé en juillet , aucune date à ce jour … la plateforme ne sert à rien;2024-08-30 12:28:43+00:00;Négatif;True;['Mauvais Service client', 'Absence de réponse', 'Techniciens mal informés', 'Facture en attente', 'Devis de réparation non honoré', 'Plateforme inefficace'];;90;Service client et suivi des interventions;100;0;100
pierrOM⚪️Ⓜ️⚪️Ⓜ️⚪️Ⓜ️;@ENGIEpartFR on pourrait dm svp?;2024-09-01 08:02:01+00:00;Neutre;False;[];[];0;Demande de contact;0;0;0
mr wick 🐕 (pierre);Ont verra bien en attendant je paye plus de 80e par mois chez @ENGIEpartFR , et cela ne peu pas continuer....;2024-09-03 19:50:12+00:00;Négatif;True;['coût élevé'];['80e par mois', 'ne peut pas continuer'];80;Coût;60;0;70
Bonioma 📵;Depuis ma régule de 2k chez tufi @ENGIEpartFR je préfère tomber malade tout l’hiver qu’allumer;2024-09-04 10:33:57+00:00;Négatif;False;['coût élevé', 'insatisfaction du Service'];['régule de 2k', 'tomber malade', 'allumer'];100;Plainte;100;0;100
shovely joe;"Bonjour @ENGIEpartFR, vous m'avez appelé pour préparer mes régulations de facture. Ca fait 3 mois que vous me facturez 167€ alors que mon contrat est à 46€ et que j'avais demandé à passer à 100 pour anticiper la régulation. Une explication logique autre que ""c'est le systeme""?";2024-09-05 08:24:40+00:00;Négatif;True;['Facturation incorrecte', 'Non-respect du contrat', 'Non-prise en compte de la demande de modification de facturation'];['167€', '46€', '100', 'régulation', 'système'];80;Facturation;80;0;90
🦹🏼‍♂️;@ENGIEpartFR @60millions mon compteur Linky envoie des informations erronées à Engie, malgré les relances et appels personne de chez Engie ne daigne se déplacer pour consulter les informations de mon compteur. Engie me débite des factures erronées quels sont mes recours ?;2024-09-05 15:40:30+00:00;Négatif;True;['Informations erronées du compteur Linky', 'Absence de réponse aux relances et appels', 'Factures erronées'];['erronées', 'relances', 'appels', 'daigne', 'débite', 'recours'];80;Service client et facturation;85;0;90
Syl20;Vos télé conseillers c’est pas possible @ENGIEpartFR le mec m’a limite insulté 😳\nIls sont comment les votre @TotalEnergies ?;2024-09-05 18:53:28+00:00;Négatif;True;['comportement des téléconseillers'];['insulté'];80;Service client;70;0;90
Keny Ouest🇫🇷🇵🇸🇮🇷;@ENGIEpartFR SERVICE CLIENT CATASTROPHIQUE 2 MOIS QUE JE COURS APRES 150€ QUE ENGIE ME DOIS;2024-09-09 09:49:36+00:00;Négatif;True;['Service client catastrophique', 'Remboursement en attente'];['catastrophique', 'cours après', 'dois'];80;Remboursement;85;0;90
ENGIE Particuliers;#Sondage : Quel pourcentage peut-on économiser sur sa facture de chauffage en isolant correctement ses combles ? 🏠\n\nLa réponse dans quelques jours sur notre compte @ENGIEpartFR ! 😉\n\n#JAgisAvecENGIE;2024-09-10 07:31:17+00:00;Positif;False;[];[];0;Information;0;100;0
Fabien Venries;Pas de problème @ENGIEpartFR les hausses de tarif d’abonnement au gaz. Une augmentation du kWh ok mais vous justifiez comment la hausse d’abonnement ? Moins de conso et une facture qui explose sur les dernières années à qui profite le crime ?;2024-09-10 18:49:33+00:00;Négatif;False;['hausse de tarif d’abonnement', 'augmentation de la facture'];['hausse', 'facture qui explose', 'crime'];80;Tarification;70;0;90
alain🔺🔺🔺👁🌍✨;Merci ⁦@ENGIEpartFR⁩ les prix sont https://t.co/OWvHYebaKU bougie proche 300€ D abonnement annuel.soit 30€ par mois 🕯️🕯️🕯️ https://t.co/B42zeQY1AX;2024-09-11 17:22:05+00:00;Neutre;False;[];[];0;Information;0;50;0
kergoat mickael;@lavoixdunord @ENGIEpartFR @ENGIEgroup a dû anticiper la hausse je suis passé de 120 à 350€ par mois en 1 été ……;2024-09-11 19:30:35+00:00;Négatif;True;['hausse des prix'];['hausse', '120 à 350€'];80;hausse des prix;70;0;90
ricardo ricardo;@ENGIEpartFR    Service déplorable   ...  impossible  d'envoyer un mail   .... trés mecontent;2024-09-16 10:53:50+00:00;Négatif;True;"[""impossible d'envoyer un mail"", 'Service déplorable']";['déplorable', 'impossible', 'mécontent'];90;Service client;100;0;100
Ni vu ni connu;@ENGIEpartFR Vous m’avez coupé l’électricité alors que je suis insuffisant respiratoire sous oxygène 24/24 avec une machine électrique;2024-09-16 13:56:32+00:00;Négatif;True;"[""Coupure d'électricité""]";['coupé', 'insuffisant respiratoire', 'oxygène', 'machine électrique'];100;Coupure de Service;100;0;100
Ni vu ni connu;@ENGIEpartFR Vous m’avez coupé l’électricité alors que je suis insuffisant respiratoire sous oxygène 24/24 avec une machine électrique \nBernard Magault \nNuméro contrat : 511 859 172\nRéf client : 308 539 679;2024-09-16 14:47:34+00:00;Négatif;True;"[""Coupure d'électricité"", 'Santé critique']";['coupé', 'insuffisant respiratoire', 'oxygène', 'machine électrique'];100;Urgence médicale;100;0;100
DE CAYRON;@ENGIEpartFR Impossible de vous joindre par téléphone m herbecq 0668803463;2024-09-18 06:18:40+00:00;Négatif;True;['Impossible de joindre par téléphone'];['Impossible'];80;Service client;70;0;90
Nico Puent.;@ENGIEpartFR Bonjour,\nÇa fait des années que j’ai l’application ENGIE. Je n’ai jamais pu m’y connecter, j’ai tout le temps ce massage d’erreur. Si je passe par internet, aucun soucis.\nC’est que chez moi, ou c’est un problème régulier? https://t.co/9RXkIXRH5P;2024-09-18 11:53:07+00:00;Négatif;False;"[""problème de connexion à l'application"", ""message d'erreur""]";['jamais pu', 'erreur', 'problème'];60;Problème Technique;60;10;70
EricE;@ENGIEpartSAV Bonjour, avez-vous un ligne téléphonique de Service à la clientèle à laquelle on peut s'adresser en espagnol ? Merci;2024-09-20 13:46:31+00:00;Neutre;False;[];[];0;Demande d'information;0;0;0
Bzzzz!;"@ENGIEpartFR  Le gaz est coupé dans la copropriété pour cause de ""factures impayées"" alors que celles-ci le sont mais n'ont pas été enregistrées comme tel. Plsrs immeubles dans ce cas. Combien de fois cela va-t-il arriver encore ? On nous annonce ""pas d'eau chaude de w-e"" ?!";2024-09-20 20:32:30+00:00;Négatif;True;"['Coupure de gaz', 'Factures impayées non enregistrées', ""Manque d'eau chaude""]";"['coupé', 'impayées', ""pas d'eau chaude""]";100;Service client et facturation;85;0;95
Cadoudal;je viens de découvrir que @ENGIEpartFR a augmenté ses tarifs de 25 % pendant l’été 😳😳😳 comment des trucs comme ça sont possibles sans que tout explose dans le pays ?? moi mon salaire il prend jamais +25 % contrairement aux billets sncf ou au tarif de gaz « réglementé »;2024-09-23 18:42:44+00:00;Négatif;False;['augmentation des tarifs', 'hausse des prix'];['augmenté', 'hausses', 'explose'];80;Prix;85;0;90
Sayulim - on blue sky;@EDFetMoi Et les clients déjà chez vous ? Ils doivent contacter @ENGIEpartFR ?;2024-09-24 09:08:38+00:00;Neutre;False;[];['contact'];10;Question;10;0;10
Jluc. Lavieville,;#engie @ENGIEpartFR cela vous arrive de répondre aux lettres recommandées que vos clients vous envoient? Vous ne respectez plus rien !;2024-09-25 10:39:08+00:00;Négatif;False;['Non-réponse aux lettres recommandées', 'Manque de respect'];['répondre', 'respectez'];80;Service client;85;0;90
ENGIE Particuliers;🔴 Merci à tous d'avoir suivi notre #Live et notre participation à la 7e édition de l’#UAPV dédiée à l'#autoconsommation solaire !\n\nSuivez notre compte @ENGIEpartFR et apprenez-en plus sur les solutions pour consommer moins et mieux ! 😉\n\n#JAgisAvecENGIE https://t.co/kEHrMhLmqs;2024-09-26 15:49:34+00:00;Positif;False;[];['Live', 'UAPV', 'autoconsommation', 'solaire'];0;Information;0;100;0
Jluc. Lavieville,;@ENGIEpartFR @ENERPLAN C’est super d’éduquer les consommateurs mais éduquez vous et répondez aux lettres recommandées que le client vous envoie !?  Le respect du client, vous ne l’avez plus !;2024-09-27 05:06:28+00:00;Négatif;True;['Non-réponse aux lettres recommandées', 'Manque de respect envers le client'];['éduquez vous', 'répondez', 'respect'];80;Service client;85;0;90
Aeorru;Plus d'eau chaude sur deux bâtiments du nouveau quartier république raccordés au réseau de chaleur... #Nantes Ça revient quand 😬🥶 @ENGIEpartFR ?;2024-09-30 20:29:37+00:00;Négatif;True;"[""Absence d'eau chaude""]";"[""Plus d'eau chaude"", 'révient quand']";80;Problème Technique;70;0;90
Enora Keller;3 jours que l’entreprise est sensée me rappeler et ne m’a pas rappelée. Je n’ai toujours pas d’eau chaude. Je prends des douches glaciales tous les jours. L’entreprise nous fait tourner en bourrique. Ma mère a appelé l’entreprise avec son patient chauffagiste pendant 2h ce matin. Les gens au bout du fil n’y connaissent rien en chaudière. Et ils prétendent qu’ils rappellent et ne rappellent pas. Ils m’ont installée n’importe comment mon ballon d’eau chaude et d’après le patient de ma mère y’a des fils qui sont n’importe comment ! Ma mère a payé un accompte pour l’installation et on est comme des connes. Que faire ? Changer d’entreprise ? Je vous invite à ne jamais faire appel à cette entreprise , ça s’appelle ENGIE. Ils vont avoir des avis Google très négatifs de ma part. On est déjà au mois d’octobre et je ne peux pas avoir d’eau chaude, ça dure depuis le mois d’août cette histoire.\n@ENGIEpartFR @ENGIEgroup \n\nC’est un scandale ! Je suis polyhandicapée et je me retrouve à l’eau froide depuis des semaines.;2024-10-02 13:32:56+00:00;Très négatif;True;"['Absence de rappel', ""Absence d'eau chaude"", ""Mauvaise installation du ballon d'eau chaude"", 'Service client incompétent', ""Paiement d'un acompte sans Service rendu""]";['sensée me rappeler', 'ne m’a pas rappelée', 'douches glaciales', 'tourner en bourrique', 'n’y connaissent rien', 'prétendent qu’ils rappellent', 'fils qui sont n’importe comment', 'comme des connes', 'scandale', 'polyhandicapée', 'eau froide depuis des semaines'];100;Service client et installation;100;0;100
ph1823;Le mail un peu bugé @ENGIEpartFR et avant on avait un lien pour refusé, visiblement maintenant obligé de téléphoner 😭 https://t.co/NowvOsM207;2024-10-03 12:56:34+00:00;Négatif;False;['Problème de mail', 'Absence de lien pour refuser', 'Obligation de téléphoner'];['bugué', 'obligé de téléphoner'];60;Problème Technique;50;10;70
ronaldimike;@ENGIEpartFR  impossible de vous contacter par mail à chaque fois erreur dans votre formulaire!! possible d'avoir une adresse mail ??? ça commence à me saouler vos arnaques !;2024-10-03 17:44:47+00:00;Négatif;True;['Impossible de contacter par mail', 'Erreur dans le formulaire'];['impossible', 'erreur', 'arnaques'];80;Service client;80;0;90
Sandrine Szelagowski;@ENGIEpartFR Y a t il des heures creuses;2024-10-03 21:55:05+00:00;Neutre;False;[];[];0;Question;0;0;0
M.;On a pris une régul de 300 euros sur notre facture @ENGIEpartFR, bon certes… mais j’apprends mtn que notre offre n’étant plus commercialisée, on prend en plus 100 euros d’augmentation/mois avec la nouvelle… 🫠. Et merci le courrier obscur pour t’informer bien sûr.;2024-10-04 06:32:43+00:00;Négatif;true;['augmentation de prix', 'communication obscure'];['augmentation', 'obscur'];80;prix et communication;85;0;90
Enora Keller;@ENGIEpartSAV Ma mère vous a contacté suite à votre message Twitter, et toujours rien !!!;2024-10-04 07:40:59+00:00;Négatif;True;['Absence de réponse', 'Manque de suivi'];['rien', 'toujours'];80;Service client;85;0;90
Enora Keller;ENGIE HOME SERVICE :\nLa pire expérience de toute ma vie avec une entreprise ! \n\nVotre entreprise m’a bloquée le jeudi pendant 5h chez moi, ensuite m’a bloquée mon vendredi en prétendant qu’un mec viendrait le vendredi pour régler ce qui ne va pas ( soit disant une histoire de résistance). Tout le vendredi j’ai attendu chez moi au qu’à où la personne viendrait comme c’était prévu, elle n’est jamais venu. Finalement le vendredi soir le mec m’a appelé pour me dire qu’il n’était pas au courant qu’il devait venir le vendredi, il m’a donné rendez-vous le lundi d’après à 7h30 du matin, soit disant j’allais enfin avoir de l’eau chaude. Il n’a pas réussi à régler le probleme, il est parti en me disant qu’il finirait par me mettre l’eau chaude et qu’il allait me rappeler pour revenir. Il ne m’a pas rappelée de toute la semaine ! Je vais porter plainte contre votre entreprise! Je n’ai jamais vu ça !\n\nMa mère a payé un acompte et je suis à l’eau froide depuis le mois d’août alors que je suis polyhandicapée !\n\n@ENGIEpartFR \n\n#scandale #engie #arnaque #incompetence #chauffeeau #entreprise #attention;2024-10-04 08:05:59+00:00;Très négatif;True;"['Retard de Service', 'Manque de communication', 'Problème non résolu', 'Acompte payé sans Service rendu', ""Absence d'eau chaude depuis plusieurs mois"", 'Situation critique pour une personne polyhandicapée']";['pire expérience', 'bloquée', 'attendu', 'jamais vu', 'porter plainte', 'eau froide', 'polyhandicapée', 'scandale', 'arnaque', 'incompétence'];100;Service client et intervention Technique;100;0;100
kocher christian. je ne me vaccinerai pas.;@ENGIEpartFR @Eno_kel et après vous avez l'audace de m'envoyer des lettres pour me réclamer 3 euros et des poussières ! ça va faire 3 ans ! en me menaçant pour ainsi dire ! si vous croyez que je vais me laissé faire , et payer ! vous faites fausse route avec moi !;2024-10-04 08:52:29+00:00;Négatif;False;['Réclamation de petites sommes', 'Menaces de paiement'];['audace', 'menaçant', 'fausse route'];80;Facturation;85;0;95
